cocina,lavanderia,aireacondicionado,total,pct_usodia,pct_usonoche,antiguedad,mora,llamadas0,llamadas1,llamadas2,llamadas3,Region1,Region2,Region3,usaapp,puntopago
0.669073161,0.513766486,0.934024938,1.158120423,0.347343504,-0.347343504,0.597004236,0,0,1,0,0,0,1,0,0,2
1.209774752,0.297323458,-0.193634091,0.646925049,1.124390045,-1.124390045,-1.90708212,0,0,1,0,0,0,1,0,0,3
1.029540889,0.513766486,0.257429521,0.975550646,0.38434572,-0.38434572,-1.406264848,0,0,1,0,0,1,0,0,0,3
-0.141979226,-0.741603075,0.482961326,-0.44849361,0.347343504,-0.347343504,-0.104139943,0,0,1,0,0,1,0,0,0,2
0.669073161,0.513766486,0.934024938,1.158120423,0.347343504,-0.347343504,0.597004236,0,0,1,0,0,0,1,0,0,2
-0.77279775,0.297323458,0.407784058,0.135729675,-1.946793903,1.946793903,-0.104139943,0,0,0,0,1,0,1,0,0,1
-1.223382409,1.595981625,-1.246115851,0.245271541,-1.909791687,1.909791687,0.997658053,0,1,0,0,0,0,1,0,0,1
-0.412330022,0.254034853,0.257429521,0.17224363,0.421347937,-0.421347937,0.997658053,0,0,1,0,0,1,0,0,0,3
-0.682680818,1.292961386,-1.095761314,0.281785496,0.310341288,-0.310341288,-1.90708212,0,1,0,0,0,1,0,0,1,3
0.939423957,-0.611737258,1.084379475,0.391327362,0.273339072,-0.273339072,1.197984962,0,0,1,0,0,0,0,1,1,4
-0.682680818,1.422827203,-1.321293119,0.281785496,0.38434572,-0.38434572,1.197984962,0,0,1,0,0,0,1,0,0,1
1.750476344,-0.914757497,1.911329429,0.866008781,0.791370099,-0.791370099,-1.90708212,0,0,1,0,0,1,0,0,0,1
0.398722365,-0.308717019,0.858847669,0.318299451,1.124390045,-1.124390045,-1.606591757,0,0,1,0,0,0,1,0,0,1
-0.682680818,-0.135562597,-0.268811359,-0.521521521,0.606359018,-0.606359018,1.39831187,0,0,0,1,0,1,0,0,0,3
-0.862914681,1.466115808,-1.095761314,0.354813406,0.421347937,-0.421347937,-0.304466852,0,0,1,0,0,0,1,0,0,4
0.128371569,0.210746247,1.009202206,0.719952959,0.569356802,-0.569356802,-0.304466852,0,1,0,0,0,1,0,0,1,2
0.488839297,0.513766486,-0.494343165,0.391327362,0.38434572,-0.38434572,1.498475324,0,1,0,0,0,0,1,0,1,1
0.759190093,-0.698314469,0.332606789,-0.119868012,0.902376748,-0.902376748,-1.406264848,0,0,1,0,0,1,0,0,1,3
-1.403616273,1.249672781,-1.471647656,-0.229409878,-1.909791687,1.909791687,-0.304466852,0,1,0,0,0,0,1,0,0,1
1.930710208,-0.39529423,1.234734012,1.048578557,-1.650776173,1.650776173,0.797331145,0,0,0,0,1,0,1,0,0,3
-0.502446954,0.254034853,-0.043279554,-0.010326147,0.38434572,-0.38434572,0.597004236,0,1,0,0,0,0,0,1,0,1
0.308605433,-0.958046103,0.407784058,-0.485007565,1.124390045,-1.124390045,-1.606591757,0,0,1,0,0,1,0,0,0,1
-1.043148545,1.292961386,-1.020584045,0.17224363,0.347343504,-0.347343504,-1.406264848,0,1,0,0,0,1,0,0,0,3
-1.673967069,-1.390932158,-1.170938582,-2.420247196,-1.317756227,1.317756227,1.197984962,0,0,0,0,1,1,0,0,0,1
0.488839297,-0.828180286,0.182252252,-0.411979655,0.939378964,-0.939378964,-0.604957215,0,0,1,0,0,1,0,0,1,4
-0.32221309,0.340612064,0.031897715,0.17224363,-1.724780606,1.724780606,-0.604957215,1,0,0,0,1,0,1,0,0,3
1.209774752,-0.39529423,-0.043279554,0.135729675,1.124390045,-1.124390045,-0.404630306,0,0,1,0,0,1,0,0,1,3
0.669073161,-0.741603075,0.934024938,0.099215719,0.828372315,-0.828372315,-0.705120669,0,0,0,1,0,1,0,0,0,1
